Stations_id,von_datum,bis_datum,geoBreite,geoLaenge
1443,19510101,20180713,48.0233,7.8344
1451,20040601,20180713,53.8277,9.2493
1468,19510101,20180713,48.4537,8.4091
1473,20060101,20180713,49.178,11.3735
1490,19650101,19770801,47.6454,9.4795
1503,20121001,20180713,53.0643,7.9022
1504,20020101,20180713,51.119,9.2799
1515,20021104,20030814,48.2,11.2667
1526,20041101,20180713,50.5668,9.6533
1544,19510101,20180713,52.5129,11.3941
1550,19480101,20180713,47.4831,11.0623
1572,20020101,20180713,50.9593,6.0392
1580,19460101,20180713,49.9859,7.9549
1583,19510101,19710101,50.7719,13.7732
1584,20090601,20180713,47.9242,8.6473
1587,19910101,20180713,48.9481,11.4289
1590,20030701,20180713,51.4942,6.2463
1602,20040701,20180713,48.4329,7.9931
1605,19820101,20180713,52.3875,12.1601
1612,19730101,20180713,50.8813,12.1289
1639,19500101,20180713,50.6017,8.6439
1645,20040501,20180713,50.9656,9.05
1666,20020101,20180713,54.8273,9.5057
1684,19510101,20180713,51.1622,14.9506
1691,19480101,20180713,51.5002,9.9507
1694,19810101,20180713,53.606,12.1033
1721,20061001,20180713,49.664,11.2239
1735,20050301,20180713,48.7893,13.6291
1736,20020124,20180713,53.5731,10.6797
1757,19780101,20180713,54.0967,13.4056
1758,19510101,19780101,54.1,13.45
1759,20001025,20180713,54.2437,13.9102
1766,19891001,20180713,52.1344,7.6969
1803,19910101,20180713,54.0714,12.3238
1832,19821101,20180713,49.1128,13.1342
1833,19480101,19821101,49.0851,13.2801
1834,19510101,19780701,50.8519,10.4665
1863,20071201,20180713,50.2667,9.1854
1869,19810101,20180713,53.3153,13.9338
1886,20160901,20180713,48.4878,10.2607
1892,20020101,20131028,51.9298,8.3005
1902,19841101,19871001,49.1273,10.7448
1957,19530101,20150323,51.5138,11.9499
1960,19600101,19710101,51.4831,11.9671
1964,20050501,20180713,49.9445,6.3821
1975,19490101,20180713,53.6332,9.9881
1981,20050301,20180713,53.4777,9.8957
2014,19490101,20180713,52.4644,9.6779
2023,20020101,20180713,48.7918,10.7062
2039,20061101,20180713,51.9002,10.5699
2044,19810101,20180713,51.652,11.1367
2074,20040601,20180713,48.3751,8.9801
2080,20040701,20120912,49.4206,8.6676
2081,19480101,19550101,49.3981,8.7251
2088,20040601,20050512,48.6765,10.1307
2110,20030101,20180713,51.0411,6.1042
2115,19520501,20180713,54.175,7.892
2158,19961001,20090101,48.8042,8.443
2166,19820101,19910502,51.0167,14.75
2167,20050301,20120402,49.7672,7.3356
2171,19510101,20180713,50.8519,9.7378
2174,20101101,20180713,51.6255,10.3695
2201,20050801,20180713,54.575,13.1044
2211,20041001,20180713,50.7371,7.6528
2244,19710101,20050901,47.7327,8.1627
2252,20050701,20180713,50.899,14.7457
2261,19480101,20180713,50.3122,11.8761
2290,19470101,20180713,47.8009,11.0108
2303,20020101,20180713,54.3146,9.539
2306,20050801,20180713,54.3194,10.6732
2315,20021101,20180713,51.7657,13.1666
2319,20050601,20180713,47.8823,11.6962
2323,20060701,20180713,51.8529,9.4953
2338,20020101,20051223,52.3333,7.55
2362,20040801,20180713,50.5651,7.4843
2374,19490101,19740701,54.4752,9.0564
2385,20020101,20180713,49.6927,7.3264
2410,19610102,20180713,48.7112,11.5362
2423,20040301,20050702,47.6894,10.0416
2429,20020101,20180713,53.9897,9.5696
2437,20020101,20180713,54.457,9.5203
2444,19910801,20180713,50.9251,11.583
2456,20011017,20050826,53.5322,7.8806
2477,19710101,19760101,47.5938,7.9597
2480,20040901,20180713,50.0643,8.993
2483,19510101,20180713,51.1803,8.4891
2485,20110502,20180713,48.9171,9.6872
2486,20050301,20180713,49.4262,7.7557
2488,19820101,20021001,48.7701,10.7876
2494,20020101,20131020,51.7329,6.2688
2497,20040801,20180713,50.5014,6.5264
2503,19510101,20030505,50.6266,10.1455
2521,19820101,19940401,48.6765,11.2961
2522,19480101,20081102,49.0382,8.3641
2532,19480101,20131031,51.2963,9.4424
2542,19750601,20160402,47.8652,10.6007
2559,19550101,20180713,47.7233,10.3348
2564,20020101,20180713,54.3761,10.1433
2565,19490101,19881015,54.3378,10.0929
